,id,yearDiff,Stimmfach,H1H2LTAS,alphaRatio,CPPs,SNR,Jahr,alter,geschlecht,Voice Type,dSPL
0,0,0.14246575342465753,Ten/Bar/Bass,-6.423368288977315,0.19049469593779672,20.393546837063386,59.46828842163086,2010,20.0,männl.,Tenor,34.80431152009045
1,0,1.178082191780822,Ten/Bar/Bass,-6.289232818962146,1.2635300065704789,20.311186829397975,59.65724468231201,2010,20.0,männl.,Tenor,34.93547179926241
2,0,2.750684931506849,Ten/Bar/Bass,-6.666937036735625,0.5469626102815478,21.135820117390647,56.22523784637451,2010,20.0,männl.,Tenor,32.18736675029386
3,0,3.345205479452055,Ten/Bar/Bass,-7.434816388096161,0.9007096299660172,22.27365681415533,63.4467077255249,2010,20.0,männl.,Tenor,33.650579815283436
4,1,0.09041095890410959,Sop/Mezzo/Alt,0.3737688742370223,1.552427034514926,17.273042887763072,50.06481170654297,2014,19.0,weibl.,Soprano,31.62220699361129
5,1,1.1835616438356165,Sop/Mezzo/Alt,-1.1092009382427304,1.4956294020129746,18.409132178378176,59.86830234527588,2014,19.0,weibl.,Soprano,31.162393971904976
6,1,2.4684931506849317,Sop/Mezzo/Alt,-1.3048485641306675,1.3990957234667798,17.556959362350764,57.59476661682129,2014,19.0,weibl.,Soprano,30.054388817711576
7,1,3.6191780821917807,Sop/Mezzo/Alt,0.9567568210907508,0.2804627998501983,19.82503367403025,50.815653800964355,2014,19.0,weibl.,Soprano,31.049461015503688
8,3,0.1506849315068493,Sop/Mezzo/Alt,-2.852385540849122,1.5111568346585864,17.706988679598883,62.315616607666016,2013,26.0,weibl.,Mezzo-Soprano/Contralto,34.36192969793743
9,3,1.3397260273972602,Sop/Mezzo/Alt,-0.4990746242488546,2.0421922750982744,18.72501177238695,59.164557456970215,2013,26.0,weibl.,Mezzo-Soprano/Contralto,35.41750481597907
10,3,2.317808219178082,Sop/Mezzo/Alt,-1.9143262354035726,2.1529787969290255,17.94640233001136,56.985697746276855,2013,26.0,weibl.,Mezzo-Soprano/Contralto,26.809710843726542
11,10,0.08767123287671233,Ten/Bar/Bass,-6.558348221898682,0.9654044148044671,18.754707714924976,44.220008850097656,2009,21.0,männl.,Tenor,26.895651645678843
12,10,1.167123287671233,Ten/Bar/Bass,-5.797443052904968,1.945321566331739,19.474363283179272,116.53647926953539,2009,21.0,männl.,Tenor,-5.314702062443782
13,10,1.3342465753424657,Ten/Bar/Bass,-5.046904262559307,2.248819350250323,20.243414880055866,39.546265602111816,2009,21.0,männl.,Tenor,30.084469130478695
14,10,2.2904109589041095,Ten/Bar/Bass,-5.521495678172052,3.274556038523406,21.287666242743654,97.31042208260476,2009,21.0,männl.,Tenor,-18.266279548757588
15,10,3.452054794520548,Ten/Bar/Bass,-6.817246209317793,3.277329606727636,19.41077119768665,55.002689361572266,2009,21.0,männl.,Tenor,30.176166545857306
16,15,0.1232876712328767,Sop/Mezzo/Alt,2.551424876874507,0.3454647878817218,15.735879014529699,57.886924743652344,2010,19.0,weibl.,Soprano,30.33634521673325
17,15,1.178082191780822,Sop/Mezzo/Alt,6.48691589086546,-0.6509118076900813,17.455581761149148,46.37220859527588,2010,19.0,weibl.,Soprano,33.050778895594114
18,16,1.7863013698630137,Sop/Mezzo/Alt,1.9017857737430013,0.5793476899532845,18.557053414464765,53.1787633895874,2006,19.0,weibl.,Soprano,26.56449840651409
19,16,2.4575342465753423,Sop/Mezzo/Alt,2.8788798641699382,0.2288455579841742,18.736809955989273,51.74049377441406,2006,19.0,weibl.,Soprano,37.280513330207754
20,16,3.493150684931507,Sop/Mezzo/Alt,8.074558934512163,-1.8259624294063936,15.607216453855987,44.345693588256836,2006,19.0,weibl.,Soprano,22.950868087613493
21,19,0.5753424657534246,Ten/Bar/Bass,-6.174394368304136,-0.5892824104164576,19.61746522804712,52.00326442718506,2012,19.0,männl.,Baritone/Bass,29.566054826278695
22,19,2.589041095890411,Ten/Bar/Bass,-6.403715912857399,-0.8045684150131339,21.385610690463732,63.17392826080322,2012,19.0,männl.,Baritone/Bass,28.758649351337002
23,19,3.547945205479452,Ten/Bar/Bass,-3.8185695421672654,-0.6157944842960693,19.810891054603147,54.83911991119385,2012,19.0,männl.,Baritone/Bass,24.94832747522155
